Gene,Gene description,Variation between individuals,Variation within individuals
MMP7,Matrix metallopeptidase 7,54.81,13.26
GAP43,Growth associated protein 43,54.57,7.72
F9,Coagulation factor IX,54.39,8.21
EDDM3B,Epididymal protein 3B,54.39,0
ADM,Adrenomedullin,54.27,0.89
CRLF1,Cytokine receptor like factor 1,54.06,8.44
LMOD1,Leiomodin 1,54.03,7.17
NRGN,Neurogranin,53.91,2.79
CPA4,Carboxypeptidase A4,53.65,14.99
CD5,CD5 molecule,53.65,26.19
PTGR1,Prostaglandin reductase 1,52.93,16.51
SMAD5,SMAD family member 5,52.84,2.75
B4GAT1,"Beta-1,4-glucuronyltransferase 1",52.58,21.43
APLP1,Amyloid beta precursor like protein 1,52.43,9.16
CNTN5,Contactin 5,52.16,21.51
TNFRSF4,TNF receptor superfamily member 4,52.07,19.87
PRTFDC1,Phosphoribosyl transferase domain containing 1,51.86,1.76
CRB2,Crumbs cell polarity complex component 2,51.73,24.94
ACP5,"Acid phosphatase 5, tartrate resistant",51.36,5.23
GMFG,Glia maturation factor gamma,51.16,0.29
BCAN,Brevican,51.12,21.9
CA12,Carbonic anhydrase 12,51.09,13.24
DIPK2B,Divergent protein kinase domain 2B,50.85,6.73
TRIM25,Tripartite motif containing 25,50.77,0
FGFBP1,Fibroblast growth factor binding protein 1,50.67,14.62
TINAGL1,Tubulointerstitial nephritis antigen like 1,50.67,16.92
GDF2,Growth differentiation factor 2,50.54,16.84
TNFRSF9,TNF receptor superfamily member 9,50.24,19.79
SYT1,Synaptotagmin 1,50.1,14.62
ELAC1,ElaC ribonuclease Z 1,49.86,0.69
CDH15,Cadherin 15,49.84,2.11
EDN1,Endothelin 1,49.78,4.14
IGSF3,Immunoglobulin superfamily member 3,49.11,16.98
CHAC2,ChaC glutathione specific gamma-glutamylcyclotransferase 2,49.09,0
CRIM1,Cysteine rich transmembrane BMP regulator 1,49.01,11.09
RSPO1,R-spondin 1,48.99,5.78
CD38,CD38 molecule,48.67,9.09
CSPG4,Chondroitin sulfate proteoglycan 4,48.61,15.8
LGALS1,Galectin 1,48.56,1.33
ARHGEF12,Rho guanine nucleotide exchange factor 12,48.5,0
AMELY,Amelogenin Y-linked,48.49,0
NFATC1,Nuclear factor of activated T cells 1,48.44,1.65
COL1A1,Collagen type I alpha 1 chain,48.4,13.9
CCN3,Cellular communication network factor 3,48.16,5.21
CNTN3,Contactin 3,48.1,32.12
ACP6,"Acid phosphatase 6, lysophosphatidic",47.97,31.19
PCBP2,Poly(rC) binding protein 2,47.96,1.14
PM20D1,Peptidase M20 domain containing 1,47.84,27.79
ROBO1,Roundabout guidance receptor 1,47.79,24.87
ECI1,Enoyl-CoA delta isomerase 1,47.79,15.73
UBL4A,Ubiquitin like 4A,47.61,0
ANGPTL4,Angiopoietin like 4,47.52,8.51
MPST,Mercaptopyruvate sulfurtransferase,47.44,0.2
ITGB2,Integrin subunit beta 2,47.42,21.97
LCN2,Lipocalin 2,47.35,6.08
FGF5,Fibroblast growth factor 5,47.13,18.5
WFDC1,WAP four-disulfide core domain 1,47,13.57
CRIP2,Cysteine rich protein 2,46.96,9.87
XG,Xg glycoprotein (Xg blood group),46.82,23.11
DCTD,DCMP deaminase,46.65,1.06
SLITRK5,SLIT and NTRK like family member 5,46.55,22.91
CNST,"Consortin, connexin sorting protein",46.48,0
ITGAV,Integrin subunit alpha V,46.47,6.91
NPTXR,Neuronal pentraxin receptor,46.38,25.76
CLUL1,Clusterin like 1,46.3,34.05
PRRT3,Proline rich transmembrane protein 3,46.19,18.3
MUC1,"Mucin 1, cell surface associated",46.13,10.01
LEP,Leptin,46.09,19.39
COL3A1,Collagen type III alpha 1 chain,46.03,19.33
PRDX5,Peroxiredoxin 5,45.99,1.6
ADAMTS15,ADAM metallopeptidase with thrombospondin type 1 motif 15,45.85,12.97
BMP10,Bone morphogenetic protein 10,45.78,22.25
COL18A1,Collagen type XVIII alpha 1 chain,45.58,3.25
MKNK1,MAPK interacting serine/threonine kinase 1,45.48,0.27
FAP,Fibroblast activation protein alpha,45.47,6.13
LPP,LIM domain containing preferred translocation partner in lipoma,45.47,1.23
FYCO1,FYVE and coiled-coil domain autophagy adaptor 1,45.46,0
IL17C,Interleukin 17C,45.43,4.42
TOP1,DNA topoisomerase I,45.24,20.46
VAT1,Vesicle amine transport 1,45.13,13.85
DTYMK,Deoxythymidylate kinase,44.76,0.01
SLPI,Secretory leukocyte peptidase inhibitor,44.65,9.06
IGFBP4,Insulin like growth factor binding protein 4,44.37,10.45
ACVRL1,Activin A receptor like type 1,44.31,25.03
CPZ,Carboxypeptidase Z,44.29,19.74
NAA80,"N-alpha-acetyltransferase 80, NatH catalytic subunit",44.28,2.5
COL15A1,Collagen type XV alpha 1 chain,44.15,0
IMPACT,Impact RWD domain protein,43.88,0
NEK7,NIMA related kinase 7,43.76,3.03
DPEP2,Dipeptidase 2,43.71,12.87
WNT9A,Wnt family member 9A,43.63,11.07
CD59,CD59 molecule (CD59 blood group),43.47,15.02
SNAPIN,SNAP associated protein,43.39,0.28
PAXX,PAXX non-homologous end joining factor,43.26,2.54
MIA,MIA SH3 domain containing,43.2,23.36
JPT2,Jupiter microtubule associated homolog 2,43.19,2.79
ENPP2,Ectonucleotide pyrophosphatase/phosphodiesterase 2,43.17,13.29
CPA1,Carboxypeptidase A1,43.16,28.89
IL1RAP,Interleukin 1 receptor accessory protein,43.05,40
KLK10,Kallikrein related peptidase 10,42.86,13.96
ANG,Angiogenin,42.73,20.59
CA4,Carbonic anhydrase 4,42.38,20.68
CRYZL1,Crystallin zeta like 1,42.37,2.87
IL5RA,Interleukin 5 receptor subunit alpha,42.32,32.83
EXTL1,Exostosin like glycosyltransferase 1,42.32,24.18
COMT,Catechol-O-methyltransferase,42.17,3.92
CD34,CD34 molecule,42.15,15.06
DDHD2,DDHD domain containing 2,41.86,4.19
CASP7,Caspase 7,41.79,5.51
CCL21,C-C motif chemokine ligand 21,41.77,4.78
MVK,Mevalonate kinase,41.57,0.59
CHRDL1,Chordin like 1,41.52,7.73
LEPR,Leptin receptor,41.39,16.65
FSTL3,Follistatin like 3,41.27,17.32
DPP4,Dipeptidyl peptidase 4,41.22,10.15
CNN2,Calponin 2,41.18,1.6
CRADD,CASP2 and RIPK1 domain containing adaptor with death domain,41.11,0
TIA1,TIA1 cytotoxic granule associated RNA binding protein,41.08,0
CCL22,C-C motif chemokine ligand 22,41.07,30.92
OVCA2,OVCA2 serine hydrolase domain containing,41.07,0
DGKI,Diacylglycerol kinase iota,41.07,8.72
BAX,"BCL2 associated X, apoptosis regulator",41.06,0
HBG2,Hemoglobin subunit gamma 2,40.91,24.96
OPHN1,Oligophrenin 1,40.89,2.25
EPS8L2,EPS8 like 2,40.83,11.03
ENDOU,"Endonuclease, poly(U) specific",40.83,19.47
GNL3L,G protein nucleolar 3 like,40.8,5.16
FCRL1,Fc receptor like 1,40.77,19.79
SAMD14,Sterile alpha motif domain containing 14,40.71,1.49
CALB1,Calbindin 1,40.61,24.42
DPT,Dermatopontin,40.57,0
CD69,CD69 molecule,40.5,0
PPP1R1A,Protein phosphatase 1 regulatory inhibitor subunit 1A,40.36,7.41
RTN4R,Reticulon 4 receptor,40.33,13.18
SELL,Selectin L,40.3,39.18
ITGAL,Integrin subunit alpha L,40.28,20.47
LIMD1,LIM domain containing 1,40.17,3.04
CHAD,Chondroadherin,40.16,18.03
GPR37,G protein-coupled receptor 37,40.08,20.46
GFER,"Growth factor, augmenter of liver regeneration",40.04,0
DTX3,Deltex E3 ubiquitin ligase 3,40,6.92
MASP1,MBL associated serine protease 1,39.99,26.55
BMP4,Bone morphogenetic protein 4,39.95,10.15
CCDC80,Coiled-coil domain containing 80,39.82,4.44
ITPA,Inosine triphosphatase,39.79,5.85
MEPE,Matrix extracellular phosphoglycoprotein,39.77,4.94
ACY1,Aminoacylase 1,39.74,13.17
RNASE1,"Ribonuclease A family member 1, pancreatic",39.7,20.95
GPX1,Glutathione peroxidase 1,39.69,0
DOK1,Docking protein 1,39.68,2.42
PBLD,Phenazine biosynthesis like protein domain containing,39.55,13.44
BAMBI,BMP and activin membrane bound inhibitor,39.54,6.61
KLK14,Kallikrein related peptidase 14,39.47,6.66
GCFC2,GC-rich sequence DNA-binding factor 2,39.45,4.67
ASPSCR1,"ASPSCR1 tether for SLC2A4, UBX domain containing",39.4,4.43
CHUK,Component of inhibitor of nuclear factor kappa B kinase complex,39.37,0
SERPINI1,Serpin family I member 1,39.36,15.9
POSTN,Periostin,39.3,14.59
CPVL,Carboxypeptidase vitellogenic like,39.25,24.3
COX5B,Cytochrome c oxidase subunit 5B,39.13,10.14
CR1,Complement C3b/C4b receptor 1 (Knops blood group),39.05,36.43
GPIHBP1,Glycosylphosphatidylinositol anchored high density lipoprotein binding protein 1,39.03,24.25
NTF3,Neurotrophin 3,38.7,0.7
C1orf56,Chromosome 1 open reading frame 56,38.69,24.52
TYW5,TRNA-yW synthesizing protein 5,38.69,0
NFX1,"Nuclear transcription factor, X-box binding 1",38.69,1.73
TGFBR3,Transforming growth factor beta receptor 3,38.67,15.08
REEP4,Receptor accessory protein 4,38.67,3.55
AMDHD1,Amidohydrolase domain containing 1,38.66,10.51
APLF,Aprataxin and PNKP like factor,38.52,0
TRAF2,TNF receptor associated factor 2,38.51,4.55
CX3CL1,C-X3-C motif chemokine ligand 1,38.47,13.41
BACH1,BTB domain and CNC homolog 1,38.46,0
ARHGAP35,Rho GTPase activating protein 35,38.18,0.64
DEFB1,Defensin beta 1,38.07,30.26
PNLIPRP1,Pancreatic lipase related protein 1,38.03,38.54
SERPINB9,Serpin family B member 9,37.96,4.56
MELTF,Melanotransferrin,37.81,41.73
ITGB7,Integrin subunit beta 7,37.8,25.15
CTSO,Cathepsin O,37.68,9.66
UFD1,Ubiquitin recognition factor in ER associated degradation 1,37.63,1.65
SBDS,SBDS ribosome maturation factor,37.61,1.36
SUSD2,Sushi domain containing 2,37.6,28.16
RAB3IP,RAB3A interacting protein,37.58,0
SASH3,SAM and SH3 domain containing 3,37.5,4.85
MTSS2,MTSS I-BAR domain containing 2,37.37,8.64
ART3,ADP-ribosyltransferase 3 (inactive),36.84,36.77
SMYD3,SET and MYND domain containing 3,36.74,11.15
LEFTY2,Left-right determination factor 2,36.67,19.7
TG,Thyroglobulin,36.61,28.8
C1QTNF6,C1q and TNF related 6,36.6,11.63
LRTM2,Leucine rich repeats and transmembrane domains 2,36.58,17.68
NXPH1,Neurexophilin 1,36.34,6.45
EIF4H,Eukaryotic translation initiation factor 4H,36.31,1.67
CR2,Complement C3d receptor 2,36.25,47
DCPS,"Decapping enzyme, scavenger",36.18,16.01
KYNU,Kynureninase,36.12,14.21
C1QA,Complement C1q A chain,36.09,30.29
PAK4,P21 (RAC1) activated kinase 4,36.02,0
CD86,CD86 molecule,36,31.86
TEX101,Testis expressed 101,35.92,14.58
TNXB,Tenascin XB,35.85,31.7
SPON2,Spondin 2,35.81,3.24
GPC1,Glypican 1,35.8,25.97
VEGFB,Vascular endothelial growth factor B,35.77,15.66
FCRLB,Fc receptor like B,35.65,21.11
TNN,Tenascin N,35.65,35.9
INS,Insulin,35.63,4.36
PPP1R18,Protein phosphatase 1 regulatory subunit 18,35.54,9.79
HMOX1,Heme oxygenase 1,35.52,27.15
SDK2,Sidekick cell adhesion molecule 2,35.43,32.62
RSPO3,R-spondin 3,35.42,3.66
ARHGAP10,Rho GTPase activating protein 10,35.4,3.29
FAM120B,Family with sequence similarity 120B,35.4,7.43
HEXIM1,HEXIM P-TEFb complex subunit 1,35.4,0
ARHGAP45,Rho GTPase activating protein 45,35.3,0
GGACT,Gamma-glutamylamine cyclotransferase,35.27,1.8
DPP6,Dipeptidyl peptidase like 6,35.17,24.59
CHRDL2,Chordin like 2,35.16,10.5
CYTL1,Cytokine like 1,35.13,45.18
GZMA,Granzyme A,35.13,15.84
SCN4B,Sodium voltage-gated channel beta subunit 4,35.12,20.79
RANBP1,RAN binding protein 1,35.11,1.18
TSSC4,Tumor suppressing subtransferable candidate 4,35.1,6.1
C1QTNF9,C1q and TNF related 9,35.08,42.19
MOG,Myelin oligodendrocyte glycoprotein,34.96,22.48
FCAMR,Fc alpha and mu receptor,34.87,28.71
CLEC11A,C-type lectin domain containing 11A,34.83,31.81
PON1,Paraoxonase 1,34.79,29.28
CD99,CD99 molecule (Xg blood group),34.51,10.77
GRHPR,Glyoxylate and hydroxypyruvate reductase,34.5,0.67
CELSR2,Cadherin EGF LAG seven-pass G-type receptor 2,34.5,7.21
MAVS,Mitochondrial antiviral signaling protein,34.44,0
EZR,Ezrin,34.4,15.8
GP1BB,Glycoprotein Ib platelet subunit beta,34.37,6.24
DNER,Delta/notch like EGF repeat containing,34.32,30.63
PDE2A,Phosphodiesterase 2A,34.16,2.71
F2R,Coagulation factor II thrombin receptor,34,6.52
PDE5A,Phosphodiesterase 5A,33.93,0
BNIP3L,BCL2 interacting protein 3 like,33.85,2.16
LY96,Lymphocyte antigen 96,33.84,16.72
SUSD1,Sushi domain containing 1,33.84,10.65
PDLIM5,PDZ and LIM domain 5,33.83,0.05
CD83,CD83 molecule,33.79,34.64
DPP10,Dipeptidyl peptidase like 10,33.77,28.83
MAP2K6,Mitogen-activated protein kinase kinase 6,33.77,1.65
GRN,Granulin precursor,33.66,29.85
CDNF,Cerebral dopamine neurotrophic factor,33.66,7.49
CTRC,Chymotrypsin C,33.63,44.54
CD6,CD6 molecule,33.59,34.18
CXCL13,C-X-C motif chemokine ligand 13,33.35,22.31
PLXNA4,Plexin A4,33.27,3.16
SSC5D,Scavenger receptor cysteine rich family member with 5 domains,33.26,39.48
IGFBP1,Insulin like growth factor binding protein 1,33.24,9.61
PAEP,Progestagen associated endometrial protein,33.24,6.61
ASRGL1,Asparaginase and isoaspartyl peptidase 1,33.24,6.67
HPCAL1,Hippocalcin like 1,33.2,1.73
LACRT,Lacritin,33.19,27.87
SCGN,"Secretagogin, EF-hand calcium binding protein",33.11,15.6
SCLY,Selenocysteine lyase,33.08,17.14
PRSS2,Serine protease 2,33.05,31.87
NCR3LG1,Natural killer cell cytotoxicity receptor 3 ligand 1,32.97,24.33
NAA10,"N-alpha-acetyltransferase 10, NatA catalytic subunit",32.95,0
HS1BP3,HCLS1 binding protein 3,32.84,2.41
MEGF10,Multiple EGF like domains 10,32.82,29.46
GPRIN3,GPRIN family member 3,32.75,0.29
CD72,CD72 molecule,32.69,18.82
HAO1,Hydroxyacid oxidase 1,32.69,19.48
MINDY1,MINDY lysine 48 deubiquitinase 1,32.69,2.45
PFKFB2,"6-phosphofructo-2-kinase/fructose-2,6-biphosphatase 2",32.67,2.32
EPG5,Ectopic P-granules 5 autophagy tethering factor,32.62,12.58
IGFBP3,Insulin like growth factor binding protein 3,32.56,22.73
CNTNAP2,Contactin associated protein 2,32.54,22.2
CTRB1,Chymotrypsinogen B1,32.52,37.21
EPHA1,EPH receptor A1,32.52,7.43
YARS1,Tyrosyl-tRNA synthetase 1,32.4,1.26
UACA,Uveal autoantigen with coiled-coil domains and ankyrin repeats,32.38,0
IKBKG,Inhibitor of nuclear factor kappa B kinase regulatory subunit gamma,32.31,1.48
CPPED1,Calcineurin like phosphoesterase domain containing 1,32.3,10.84
NPPC,Natriuretic peptide C,32.29,0.97
CTSV,Cathepsin V,32.27,19.7
INPPL1,Inositol polyphosphate phosphatase like 1,32.11,0.66
FCRL5,Fc receptor like 5,32.04,39.77
SULT1A1,Sulfotransferase family 1A member 1,32.04,7
CWC22,CWC22 spliceosome associated protein homolog,31.99,14.95
ACP1,Acid phosphatase 1,31.97,2.47
CPM,Carboxypeptidase M,31.95,23.28
LACTB2,Lactamase beta 2,31.91,1.76
ADH1B,"Alcohol dehydrogenase 1B (class I), beta polypeptide",31.91,19.01
ZFAND2B,Zinc finger AN1-type containing 2B,31.83,0.35
PI3,Peptidase inhibitor 3,31.82,22.53
FAM83F,Family with sequence similarity 83 member F,31.77,18.5
GSR,Glutathione-disulfide reductase,31.73,17.68
COLEC12,Collectin subfamily member 12,31.67,20.52
NCAM1,Neural cell adhesion molecule 1,31.63,26.62
ITGB1BP2,Integrin subunit beta 1 binding protein 2,31.58,2.31
KLK11,Kallikrein related peptidase 11,31.58,16.47
TBCC,Tubulin folding cofactor C,31.55,2.66
PTPRC,Protein tyrosine phosphatase receptor type C,31.5,32.59
KLK6,Kallikrein related peptidase 6,31.48,19.07
DCXR,Dicarbonyl and L-xylulose reductase,31.46,10.06
DENND2C,DENN domain containing 2C,31.45,1.77
ALCAM,Activated leukocyte cell adhesion molecule,31.36,29.56
CDH6,Cadherin 6,31.25,32.63
CCL20,C-C motif chemokine ligand 20,31.22,21.6
HJV,Hemojuvelin BMP co-receptor,31.13,10.05
EIF4B,Eukaryotic translation initiation factor 4B,31.12,1.29
GP2,Glycoprotein 2,31.04,42.44
ITGB5,Integrin subunit beta 5,31.04,11.43
ARHGEF10,Rho guanine nucleotide exchange factor 10,31.03,2.14
RNASE4,Ribonuclease A family member 4,31.03,20.66
VSIG4,V-set and immunoglobulin domain containing 4,31.02,31.65
LRBA,LPS responsive beige-like anchor protein,30.98,0
EDNRB,Endothelin receptor type B,30.93,8.04
MPIG6B,Megakaryocyte and platelet inhibitory receptor G6b,30.93,0
KAZN,"Kazrin, periplakin interacting protein",30.83,0.99
CPB1,Carboxypeptidase B1,30.82,38.79
HMCN2,Hemicentin 2,30.76,40.44
GMPR,Guanosine monophosphate reductase,30.71,0.52
PPP1CC,Protein phosphatase 1 catalytic subunit gamma,30.65,2.75
C1QTNF5,C1q and TNF related 5,30.56,28.44
SLMAP,Sarcolemma associated protein,30.55,1.73
ITGB1,Integrin subunit beta 1,30.53,18.45
GPRC5C,G protein-coupled receptor class C group 5 member C,30.52,3.07
THTPA,Thiamine triphosphatase,30.49,3.78
GOLGA3,Golgin A3,30.46,10.05
CES3,Carboxylesterase 3,30.42,18.21
EIF4EBP1,Eukaryotic translation initiation factor 4E binding protein 1,30.4,6.26
GAB1,GRB2 associated binding protein 1,30.34,1.14
LUZP2,Leucine zipper protein 2,30.32,14.6
CNTN2,Contactin 2,30.3,34.76
CA14,Carbonic anhydrase 14,30.28,21.76
BANK1,B cell scaffold protein with ankyrin repeats 1,30.27,10.4
SH3BP5,SH3 domain binding protein 5,30.27,18.83
APOM,Apolipoprotein M,30.26,23.66
CCK,Cholecystokinin,30.25,15.34
CALCOCO1,Calcium binding and coiled-coil domain 1,30.23,0
NRP2,Neuropilin 2,30.22,20.1
FASLG,Fas ligand,30.2,42.72
NCKIPSD,NCK interacting protein with SH3 domain,30.18,2.43
TRIM5,Tripartite motif containing 5,30.18,0.33
PLEKHO1,Pleckstrin homology domain containing O1,30.17,3.98
BRAP,BRCA1 associated protein,30.16,4.56
ZNRD2,Zinc ribbon domain containing 2,30.11,13.54
CD302,CD302 molecule,30,27
AGXT,Alanine--glyoxylate aminotransferase,29.91,23.51
DARS1,Aspartyl-tRNA synthetase 1,29.9,4.02
INPP4B,Inositol polyphosphate-4-phosphatase type II B,29.8,1.98
NECAP2,NECAP endocytosis associated 2,29.77,1.82
TFF3,Trefoil factor 3,29.71,2.42
FAM114A1,Family with sequence similarity 114 member A1,29.65,17.67
ST6GAL1,"ST6 beta-galactoside alpha-2,6-sialyltransferase 1",29.62,16.75
BCAT1,Branched chain amino acid transaminase 1,29.54,24.92
GIPC3,GIPC PDZ domain containing family member 3,29.5,3.83
PRAP1,Proline rich acidic protein 1,29.49,18.58
TBCB,Tubulin folding cofactor B,29.44,0.61
AMIGO2,Adhesion molecule with Ig like domain 2,29.43,12.47
C16orf89,Chromosome 16 open reading frame 89,29.41,24.82
SPAST,Spastin,29.39,1.73
CD55,CD55 molecule (Cromer blood group),29.38,27.96
GPR15LG,G protein-coupled receptor 15 ligand,29.38,20.76
THOP1,Thimet oligopeptidase 1,29.37,3.48
AXIN1,Axin 1,29.3,2.91
PDAP1,PDGFA associated protein 1,29.3,4.62
GLO1,Glyoxalase I,29.3,0
DNM1,Dynamin 1,29.29,2.37
IL1RL1,Interleukin 1 receptor like 1,29.23,42.66
BCR,BCR activator of RhoGEF and GTPase,29.12,1.93
CNTN4,Contactin 4,29.1,32.67
LYSMD1,LysM domain containing 1,29.06,4.56
RAB6B,"RAB6B, member RAS oncogene family",28.86,7.82
FGF23,Fibroblast growth factor 23,28.84,15.04
OGFR,Opioid growth factor receptor,28.77,10.47
CDC42BPB,CDC42 binding protein kinase beta,28.67,0
RIPK3,Receptor interacting serine/threonine kinase 3,28.65,6.46
ACTA2,"Actin alpha 2, smooth muscle",28.61,18.37
CD99L2,CD99 molecule like 2,28.53,15.72
DNAJB14,DnaJ heat shock protein family (Hsp40) member B14,28.51,3.39
GRIPAP1,GRIP1 associated protein 1,28.49,0
ACRV1,Acrosomal vesicle protein 1,28.41,7.57
RPEL1,Ribulose-5-phosphate-3-epimerase like 1,28.41,0
ARL2BP,ADP ribosylation factor like GTPase 2 binding protein,28.4,4.43
SSC4D,Scavenger receptor cysteine rich family member with 4 domains,28.38,37
ARF6,ADP ribosylation factor 6,28.37,6.42
CEP170,Centrosomal protein 170,28.34,0
VASH1,Vasohibin 1,28.32,3.12
DNAJC21,DnaJ heat shock protein family (Hsp40) member C21,28.31,2.53
PARD3,Par-3 family cell polarity regulator,28.23,1.03
METAP2,Methionyl aminopeptidase 2,28.22,0
KLK7,Kallikrein related peptidase 7,28.22,35.64
TSC22D3,TSC22 domain family member 3,28.2,0
HS3ST3B1,Heparan sulfate-glucosamine 3-sulfotransferase 3B1,28.14,11.98
SPRR3,Small proline rich protein 3,28.09,19.79
SPINK2,Serine peptidase inhibitor Kazal type 2,27.96,8.92
HLA-DRA,"Major histocompatibility complex, class II, DR alpha",27.93,40.12
CASP9,Caspase 9,27.93,3.56
DKK3,Dickkopf WNT signaling pathway inhibitor 3,27.92,37.72
CCL27,C-C motif chemokine ligand 27,27.87,19.78
SHROOM4,Shroom family member 4,27.86,0
CRYBB1,Crystallin beta B1,27.79,3.96
PTGES2,Prostaglandin E synthase 2,27.78,8.53
CDH5,Cadherin 5,27.77,40.26
SAV1,Salvador family WW domain containing protein 1,27.76,6.47
SCG2,Secretogranin II,27.68,13.67
PRL,Prolactin,27.67,17.5
