Gene,Gene description,Concentration
IGHV3-11,Immunoglobulin heavy variable 3-11,18 mg/L
IGKV1-6,Immunoglobulin kappa variable 1-6,18 mg/L
IGKV1-12,Immunoglobulin kappa variable 1-12,18 mg/L
ATRN,Attractin,17 mg/L
CPN2,Carboxypeptidase N subunit 2,17 mg/L
IGKV3-15,Immunoglobulin kappa variable 3-15,17 mg/L
IGKV1-27,Immunoglobulin kappa variable 1-27,17 mg/L
IGKV1D-12,Immunoglobulin kappa variable 1D-12,17 mg/L
CLEC3B,C-type lectin domain family 3 member B,16 mg/L
IGKV3D-20,Immunoglobulin kappa variable 3D-20,16 mg/L
IGKV1-16,Immunoglobulin kappa variable 1-16,16 mg/L
CFHR1,Complement factor H related 1,16 mg/L
AFM,Afamin,15 mg/L
KRT9,Keratin 9,15 mg/L
LPA,Lipoprotein(a),15 mg/L
IGHV3-35,Immunoglobulin heavy variable 3-35 (non-functional),15 mg/L
CFI,Complement factor I,14 mg/L
IGKV1-17,Immunoglobulin kappa variable 1-17,14 mg/L
IGKV1-5,Immunoglobulin kappa variable 1-5,14 mg/L
HBB,Hemoglobin subunit beta,14 mg/L
PON1,Paraoxonase 1,13 mg/L
C6,Complement C6,13 mg/L
KRT10,Keratin 10,13 mg/L
IGHV3-33,Immunoglobulin heavy variable 3-33,13 mg/L
IGHV3-72,Immunoglobulin heavy variable 3-72,13 mg/L
IGKV1D-16,Immunoglobulin kappa variable 1D-16,13 mg/L
IGHV3-30,Immunoglobulin heavy variable 3-30,13 mg/L
FBLN1,Fibulin 1,12 mg/L
SERPINA4,Serpin family A member 4,11 mg/L
APOC1,Apolipoprotein C1,11 mg/L
IGKV3D-11,Immunoglobulin kappa variable 3D-11,11 mg/L
IGKV1-8,Immunoglobulin kappa variable 1-8,11 mg/L
C8B,Complement C8 beta chain,10 mg/L
C8A,Complement C8 alpha chain,10 mg/L
HBD,Hemoglobin subunit delta,10 mg/L
IGKV1-39,Immunoglobulin kappa variable 1-39,10 mg/L
IGKV2-30,Immunoglobulin kappa variable 2-30,9.6 mg/L
CPN1,Carboxypeptidase N subunit 1,9.5 mg/L
IGLV3-21,Immunoglobulin lambda variable 3-21,9.5 mg/L
F5,Coagulation factor V,9.4 mg/L
IGHV3-66,Immunoglobulin heavy variable 3-66,9.4 mg/L
IGHV4-39,Immunoglobulin heavy variable 4-39,9.2 mg/L
IGKV1-9,Immunoglobulin kappa variable 1-9,9.1 mg/L
C1RL,Complement C1r subcomponent like,8.8 mg/L
FCN3,Ficolin 3,8.7 mg/L
IGHV4-59,Immunoglobulin heavy variable 4-59,8.6 mg/L
IGKV1D-37,Immunoglobulin kappa variable 1D-37 (non-functional),8.4 mg/L
PROS1,Protein S,8.1 mg/L
F10,Coagulation factor X,7.9 mg/L
F12,Coagulation factor XII,7.4 mg/L
KLKB1,Kallikrein B1,7.4 mg/L
IGHV4-34,Immunoglobulin heavy variable 4-34,7.3 mg/L
IGKV1D-33,Immunoglobulin kappa variable 1D-33,7.3 mg/L
IGHV1-18,Immunoglobulin heavy variable 1-18,7.2 mg/L
IGKV3D-15,Immunoglobulin kappa variable 3D-15,7.2 mg/L
IGLV1-44,Immunoglobulin lambda variable 1-44,7.0 mg/L
KRT2,Keratin 2,6.9 mg/L
IGHV3-53,Immunoglobulin heavy variable 3-53,6.9 mg/L
IGHV4-61,Immunoglobulin heavy variable 4-61,6.7 mg/L
IGHV1-2,Immunoglobulin heavy variable 1-2,6.6 mg/L
ECM1,Extracellular matrix protein 1,6.4 mg/L
ACTG1,Actin gamma 1,6.4 mg/L
SAA1,Serum amyloid A1,6.3 mg/L
CPB2,Carboxypeptidase B2,6.1 mg/L
APOL1,Apolipoprotein L1,6.1 mg/L
SHBG,Sex hormone binding globulin,6.1 mg/L
IGLV3-25,Immunoglobulin lambda variable 3-25,6.1 mg/L
IGHV3-43,Immunoglobulin heavy variable 3-43,6.1 mg/L
HGFAC,HGF activator,5.9 mg/L
CD14,CD14 molecule,5.8 mg/L
IGHV1-46,Immunoglobulin heavy variable 1-46,5.7 mg/L
BCHE,Butyrylcholinesterase,5.5 mg/L
IGHV3-49,Immunoglobulin heavy variable 3-49,5.5 mg/L
F9,Coagulation factor IX,5.4 mg/L
THBS1,Thrombospondin 1,5.4 mg/L
IGLV1-47,Immunoglobulin lambda variable 1-47,5.4 mg/L
IGHV5-51,Immunoglobulin heavy variable 5-51,5.4 mg/L
IGHV4-4,Immunoglobulin heavy variable 4-4,5.4 mg/L
SAA2,Serum amyloid A2,5.2 mg/L
IGHV1-69,Immunoglobulin heavy variable 1-69,5.2 mg/L
HABP2,Hyaluronan binding protein 2,5.1 mg/L
IGLV3-1,Immunoglobulin lambda variable 3-1,5.1 mg/L
IGHV3-64,Immunoglobulin heavy variable 3-64,5.1 mg/L
VWF,Von Willebrand factor,5.0 mg/L
APOM,Apolipoprotein M,5.0 mg/L
IGKV1D-8,Immunoglobulin kappa variable 1D-8,5.0 mg/L
CFHR2,Complement factor H related 2,4.9 mg/L
F13B,Coagulation factor XIII B chain,4.9 mg/L
IGHV1-3,Immunoglobulin heavy variable 1-3,4.8 mg/L
IGKV3D-7,Immunoglobulin kappa variable 3D-7,4.8 mg/L
LGALS3BP,Galectin 3 binding protein,4.6 mg/L
PPBP,Pro-platelet basic protein,4.6 mg/L
IGHV1-24,Immunoglobulin heavy variable 1-24,4.4 mg/L
GPX3,Glutathione peroxidase 3,4.2 mg/L
IGKV2D-28,Immunoglobulin kappa variable 2D-28,4.2 mg/L
IGHV3-73,Immunoglobulin heavy variable 3-73,4.1 mg/L
CFP,Complement factor properdin,4.0 mg/L
IGLV1-40,Immunoglobulin lambda variable 1-40,4.0 mg/L
IGHV3-16,Immunoglobulin heavy variable 3-16 (non-functional),4.0 mg/L
CRP,C-reactive protein,3.9 mg/L
CD5L,CD5 molecule like,3.8 mg/L
IGHV3-38,Immunoglobulin heavy variable 3-38 (non-functional),3.8 mg/L
CFHR3,Complement factor H related 3,3.7 mg/L
C8G,Complement C8 gamma chain,3.6 mg/L
LCAT,Lecithin-cholesterol acyltransferase,3.5 mg/L
CA1,Carbonic anhydrase 1,3.4 mg/L
KRT6A,Keratin 6A,3.4 mg/L
IGLV2-14,Immunoglobulin lambda variable 2-14,3.4 mg/L
IGHV4-28,Immunoglobulin heavy variable 4-28,3.3 mg/L
SERPINA10,Serpin family A member 10,3.2 mg/L
ACTA1,"Actin alpha 1, skeletal muscle",3.2 mg/L
ACTC1,Actin alpha cardiac muscle 1,3.2 mg/L
IGLV3-10,Immunoglobulin lambda variable 3-10,3.2 mg/L
PROC,"Protein C, inactivator of coagulation factors Va and VIIIa",3.1 mg/L
CHL1,Cell adhesion molecule L1 like,3.1 mg/L
PF4,Platelet factor 4,3.1 mg/L
FETUB,Fetuin B,3.0 mg/L
C1QC,Complement C1q C chain,3.0 mg/L
IGLV1-51,Immunoglobulin lambda variable 1-51,3.0 mg/L
IGKV2D-30,Immunoglobulin kappa variable 2D-30,3.0 mg/L
KRT5,Keratin 5,2.9 mg/L
IGLV2-8,Immunoglobulin lambda variable 2-8,2.9 mg/L
F11,Coagulation factor XI,2.8 mg/L
ACTA2,"Actin alpha 2, smooth muscle",2.8 mg/L
GPLD1,Glycosylphosphatidylinositol specific phospholipase D1,2.8 mg/L
SELL,Selectin L,2.8 mg/L
IGLV6-57,Immunoglobulin lambda variable 6-57,2.8 mg/L
IGHV3-64D,Immunoglobulin heavy variable 3-64D,2.8 mg/L
C1QA,Complement C1q A chain,2.7 mg/L
CFD,Complement factor D,2.7 mg/L
IGLV3-9,Immunoglobulin lambda variable 3-9,2.7 mg/L
IGHV3-20,Immunoglobulin heavy variable 3-20,2.7 mg/L
PRG4,Proteoglycan 4,2.6 mg/L
IGKV2D-29,Immunoglobulin kappa variable 2D-29,2.5 mg/L
IGHV1-69D,Immunoglobulin heavy variable 1-69D,2.5 mg/L
JCHAIN,Joining chain of multimeric IgA and IgM,2.4 mg/L
IGLV2-11,Immunoglobulin lambda variable 2-11,2.4 mg/L
BTD,Biotinidase,2.3 mg/L
F13A1,Coagulation factor XIII A chain,2.2 mg/L
IGFBP3,Insulin like growth factor binding protein 3,2.2 mg/L
CNDP1,Carnosine dipeptidase 1,2.2 mg/L
POTEF,POTE ankyrin domain family member F,2.2 mg/L
MASP1,MBL associated serine protease 1,1.9 mg/L
LBP,Lipopolysaccharide binding protein,1.9 mg/L
CFHR5,Complement factor H related 5,1.9 mg/L
PI16,Peptidase inhibitor 16,1.9 mg/L
SERPINA5,Serpin family A member 5,1.9 mg/L
IGKV3-7,Immunoglobulin kappa variable 3-7 (non-functional),1.9 mg/L
CST3,Cystatin C,1.8 mg/L
QSOX1,Quiescin sulfhydryl oxidase 1,1.8 mg/L
IGKV1D-42,Immunoglobulin kappa variable 1D-42 (non-functional),1.8 mg/L
IGKV1D-17,Immunoglobulin kappa variable 1D-17,1.8 mg/L
COMP,Cartilage oligomeric matrix protein,1.7 mg/L
LYVE1,Lymphatic vessel endothelial hyaluronan receptor 1,1.7 mg/L
IGLV3-19,Immunoglobulin lambda variable 3-19,1.7 mg/L
IGKV1D-43,Immunoglobulin kappa variable 1D-43,1.7 mg/L
IGKV2D-40,Immunoglobulin kappa variable 2D-40,1.7 mg/L
TNXB,Tenascin XB,1.6 mg/L
ACTBL2,Actin beta like 2,1.6 mg/L
PRSS2,Serine protease 2,1.6 mg/L
PTGDS,Prostaglandin D2 synthase,1.5 mg/L
EFEMP1,EGF containing fibulin extracellular matrix protein 1,1.5 mg/L
IGLV1-36,Immunoglobulin lambda variable 1-36,1.5 mg/L
IGLV3-27,Immunoglobulin lambda variable 3-27,1.5 mg/L
IGHV6-1,Immunoglobulin heavy variable 6-1,1.5 mg/L
SELENOP,Selenoprotein P,1.5 mg/L
C4BPB,Complement component 4 binding protein beta,1.4 mg/L
TLN1,Talin 1,1.4 mg/L
MBL2,Mannose binding lectin 2,1.4 mg/L
KRT14,Keratin 14,1.4 mg/L
TGFBI,Transforming growth factor beta induced,1.3 mg/L
LCP1,Lymphocyte cytosolic protein 1,1.3 mg/L
NCAM1,Neural cell adhesion molecule 1,1.3 mg/L
B2M,Beta-2-microglobulin,1.3 mg/L
VASN,Vasorin,1.3 mg/L
APOF,Apolipoprotein F,1.3 mg/L
KRT79,Keratin 79,1.3 mg/L
KRT16,Keratin 16,1.3 mg/L
HRNR,Hornerin,1.3 mg/L
IGKV2D-26,Immunoglobulin kappa variable 2D-26,1.3 mg/L
IGLV3-12,Immunoglobulin lambda variable 3-12,1.3 mg/L
IGKV2-24,Immunoglobulin kappa variable 2-24,1.3 mg/L
IGHV5-10-1,Immunoglobulin heavy variable 5-10-1,1.3 mg/L
ICAM1,Intercellular adhesion molecule 1,1.2 mg/L
ANXA1,Annexin A1,1.2 mg/L
KRT8,Keratin 8,1.2 mg/L
IGLV2-23,Immunoglobulin lambda variable 2-23,1.2 mg/L
IGLV3-22,Immunoglobulin lambda variable 3-22,1.2 mg/L
IGLV3-16,Immunoglobulin lambda variable 3-16,1.2 mg/L
GAPDH,Glyceraldehyde-3-phosphate dehydrogenase,1.1 mg/L
HSPG2,Heparan sulfate proteoglycan 2,1.1 mg/L
KRT75,Keratin 75,1.1 mg/L
CDH5,Cadherin 5,1.1 mg/L
GP1BA,Glycoprotein Ib platelet subunit alpha,1.1 mg/L
IGLV8-61,Immunoglobulin lambda variable 8-61,1.1 mg/L
IGLV2-18,Immunoglobulin lambda variable 2-18,1.1 mg/L
IGHV1-45,Immunoglobulin heavy variable 1-45,1.1 mg/L
MCAM,Melanoma cell adhesion molecule,1.0 mg/L
DBH,Dopamine beta-hydroxylase,1.0 mg/L
LYZ,Lysozyme,990 µg/L
CD163,CD163 molecule,970 µg/L
CSF1R,Colony stimulating factor 1 receptor,960 µg/L
IGHV2-5,Immunoglobulin heavy variable 2-5,960 µg/L
IGKV2D-24,Immunoglobulin kappa variable 2D-24 (non-functional),960 µg/L
S100A9,S100 calcium binding protein A9,950 µg/L
FLNA,Filamin A,930 µg/L
FCN2,Ficolin 2,910 µg/L
IGHV1-69-2,Immunoglobulin heavy variable 1-69-2,910 µg/L
KRT77,Keratin 77,900 µg/L
IGHV4-31,Immunoglobulin heavy variable 4-31,900 µg/L
THBS4,Thrombospondin 4,890 µg/L
VCAM1,Vascular cell adhesion molecule 1,890 µg/L
KRT7,Keratin 7,880 µg/L
ANPEP,"Alanyl aminopeptidase, membrane",840 µg/L
ALCAM,Activated leukocyte cell adhesion molecule,840 µg/L
IGF2,Insulin like growth factor 2,820 µg/L
ADIPOQ,"Adiponectin, C1Q and collagen domain containing",810 µg/L
APOC4,Apolipoprotein C4,810 µg/L
GGH,Gamma-glutamyl hydrolase,780 µg/L
IGLV7-46,Immunoglobulin lambda variable 7-46,760 µg/L
HBE1,Hemoglobin subunit epsilon 1,760 µg/L
IGKV1D-13,Immunoglobulin kappa variable 1D-13,750 µg/L
PCOLCE,Procollagen C-endopeptidase enhancer,740 µg/L
PIGR,Polymeric immunoglobulin receptor,730 µg/L
COL6A3,Collagen type VI alpha 3 chain,730 µg/L
PRSS3,Serine protease 3,720 µg/L
HSPA5,Heat shock protein family A (Hsp70) member 5,720 µg/L
F7,Coagulation factor VII,720 µg/L
IGHV7-4-1,Immunoglobulin heavy variable 7-4-1,710 µg/L
ENPP2,Ectonucleotide pyrophosphatase/phosphodiesterase 2,700 µg/L
MASP2,MBL associated serine protease 2,690 µg/L
VCL,Vinculin,680 µg/L
PRDX2,Peroxiredoxin 2,670 µg/L
CD44,CD44 molecule (Indian blood group),660 µg/L
MYH9,Myosin heavy chain 9,660 µg/L
RNASE1,"Ribonuclease A family member 1, pancreatic",640 µg/L
IGLV4-69,Immunoglobulin lambda variable 4-69,640 µg/L
KRT73,Keratin 73,630 µg/L
PFN1,Profilin 1,620 µg/L
IGHV2-70,Immunoglobulin heavy variable 2-70,620 µg/L
KRT27,Keratin 27,610 µg/L
PROZ,"Protein Z, vitamin K dependent plasma glycoprotein",600 µg/L
KRT72,Keratin 72,590 µg/L
KRT13,Keratin 13,590 µg/L
CRTAC1,Cartilage acidic protein 1,570 µg/L
CAT,Catalase,570 µg/L
KRT17,Keratin 17,570 µg/L
LTF,Lactotransferrin,560 µg/L
TNC,Tenascin C,560 µg/L
NRP1,Neuropilin 1,560 µg/L
PEPD,Peptidase D,560 µg/L
VNN1,Vanin 1,550 µg/L
PROCR,Protein C receptor,530 µg/L
IGLV7-43,Immunoglobulin lambda variable 7-43,530 µg/L
IGHV7-81,Immunoglobulin heavy variable 7-81 (non-functional),520 µg/L
ALDOA,"Aldolase, fructose-bisphosphate A",500 µg/L
TPM4,Tropomyosin 4,500 µg/L
CRISP3,Cysteine rich secretory protein 3,490 µg/L
POSTN,Periostin,490 µg/L
IGFBP2,Insulin like growth factor binding protein 2,480 µg/L
KRT4,Keratin 4,480 µg/L
PVR,PVR cell adhesion molecule,450 µg/L
CA2,Carbonic anhydrase 2,450 µg/L
PON3,Paraoxonase 3,450 µg/L
LDHB,Lactate dehydrogenase B,430 µg/L
SPARCL1,SPARC like 1,430 µg/L
IGKV6-21,Immunoglobulin kappa variable 6-21 (non-functional),420 µg/L
PCYOX1,Prenylcysteine oxidase 1,410 µg/L
ALDOB,"Aldolase, fructose-bisphosphate B",410 µg/L
IGKV6D-21,Immunoglobulin kappa variable 6D-21 (non-functional),410 µg/L
PTPRJ,Protein tyrosine phosphatase receptor type J,400 µg/L
KRT15,Keratin 15,400 µg/L
ICAM2,Intercellular adhesion molecule 2,390 µg/L
SOD3,Superoxide dismutase 3,390 µg/L
PLXDC2,Plexin domain containing 2,380 µg/L
IGHV2-70D,Immunoglobulin heavy variable 2-70D,380 µg/L
MAN1A1,Mannosidase alpha class 1A member 1,370 µg/L
YWHAZ,Tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein zeta,360 µg/L
HEG1,Heart development protein with EGF like domains 1,360 µg/L
IGHV2-26,Immunoglobulin heavy variable 2-26,350 µg/L
ENO1,Enolase 1,340 µg/L
SRGN,Serglycin,340 µg/L
LCN2,Lipocalin 2,340 µg/L
PLEK,Pleckstrin,330 µg/L
CD93,CD93 molecule,330 µg/L
ABI3BP,ABI family member 3 binding protein,330 µg/L
CNTN1,Contactin 1,320 µg/L
PPP1R9B,Protein phosphatase 1 regulatory subunit 9B,320 µg/L
FBN1,Fibrillin 1,320 µg/L
PCSK9,Proprotein convertase subtilisin/kexin type 9,320 µg/L
PKM,Pyruvate kinase M1/2,310 µg/L
BLVRB,Biliverdin reductase B,310 µg/L
GNPTG,N-acetylglucosamine-1-phosphate transferase subunit gamma,310 µg/L
MEGF8,Multiple EGF like domains 8,310 µg/L
KRT76,Keratin 76,310 µg/L
SBSN,Suprabasin,310 µg/L
SELP,Selectin P,300 µg/L
KRT3,Keratin 3,300 µg/L
SPP2,Secreted phosphoprotein 2,290 µg/L
CTSD,Cathepsin D,280 µg/L
IGFBP4,Insulin like growth factor binding protein 4,280 µg/L
DCD,Dermcidin,280 µg/L
HSP90B1,Heat shock protein 90 beta family member 1,280 µg/L
KRT19,Keratin 19,280 µg/L
GP5,Glycoprotein V platelet,280 µg/L
LAMP2,Lysosomal associated membrane protein 2,270 µg/L
PLTP,Phospholipid transfer protein,270 µg/L
TIMP1,TIMP metallopeptidase inhibitor 1,270 µg/L
CFHR4,Complement factor H related 4,270 µg/L
S100A8,S100 calcium binding protein A8,270 µg/L
PTPRG,Protein tyrosine phosphatase receptor type G,270 µg/L
LAMP1,Lysosomal associated membrane protein 1,270 µg/L
ACTN1,Actinin alpha 1,260 µg/L
KRT31,Keratin 31,260 µg/L
RARRES2,Retinoic acid receptor responder 2,260 µg/L
CTBS,Chitobiase,260 µg/L
COLEC11,Collectin subfamily member 11,260 µg/L
TAGLN2,Transgelin 2,260 µg/L
ANG,Angiogenin,260 µg/L
MINPP1,Multiple inositol-polyphosphate phosphatase 1,250 µg/L
SPARC,Secreted protein acidic and cysteine rich,250 µg/L
CACNA2D1,Calcium voltage-gated channel auxiliary subunit alpha2delta 1,250 µg/L
CFL1,Cofilin 1,250 µg/L
IGFBP5,Insulin like growth factor binding protein 5,240 µg/L
ROBO4,Roundabout guidance receptor 4,240 µg/L
COL18A1,Collagen type XVIII alpha 1 chain,240 µg/L
IL1RAP,Interleukin 1 receptor accessory protein,240 µg/L
NEO1,Neogenin 1,230 µg/L
LRP1,LDL receptor related protein 1,230 µg/L
LTBP1,Latent transforming growth factor beta binding protein 1,220 µg/L
TPM3,Tropomyosin 3,220 µg/L
TUBA1C,Tubulin alpha 1c,220 µg/L
IGF1,Insulin like growth factor 1,210 µg/L
KRT33B,Keratin 33B,210 µg/L
MMRN1,Multimerin 1,210 µg/L
IGFBP6,Insulin like growth factor binding protein 6,210 µg/L
PPIA,Peptidylprolyl isomerase A,210 µg/L
IGHV1-58,Immunoglobulin heavy variable 1-58,210 µg/L
CETP,Cholesteryl ester transfer protein,200 µg/L
TUBA4A,Tubulin alpha 4a,200 µg/L
CDH13,Cadherin 13,200 µg/L
DPEP2,Dipeptidase 2,200 µg/L
ICAM3,Intercellular adhesion molecule 3,190 µg/L
MMP2,Matrix metallopeptidase 2,190 µg/L
LAMB1,Laminin subunit beta 1,190 µg/L
HSPA8,Heat shock protein family A (Hsp70) member 8,190 µg/L
NEGR1,Neuronal growth regulator 1,190 µg/L
IGF2R,Insulin like growth factor 2 receptor,190 µg/L
TPM2,Tropomyosin 2,190 µg/L
IGLV5-45,Immunoglobulin lambda variable 5-45,190 µg/L
NID1,Nidogen 1,180 µg/L
AOC3,Amine oxidase copper containing 3,180 µg/L
TPM1,Tropomyosin 1,180 µg/L
PLA2G7,Phospholipase A2 group VII,180 µg/L
ITGB1,Integrin subunit beta 1,180 µg/L
CD55,CD55 molecule (Cromer blood group),180 µg/L
HLA-C,"Major histocompatibility complex, class I, C",180 µg/L
TFPI,Tissue factor pathway inhibitor,170 µg/L
FLT4,Fms related receptor tyrosine kinase 4,170 µg/L
OLFM1,Olfactomedin 1,170 µg/L
HBZ,Hemoglobin subunit zeta,170 µg/L
COL6A1,Collagen type VI alpha 1 chain,170 µg/L
FERMT3,FERM domain containing kindlin 3,170 µg/L
CD109,CD109 molecule,170 µg/L
KRT80,Keratin 80,170 µg/L
CALR,Calreticulin,170 µg/L
HEPHL1,Hephaestin like 1,170 µg/L
ENG,Endoglin,160 µg/L
NAGLU,N-acetyl-alpha-glucosaminidase,160 µg/L
RPS27A,Ribosomal protein S27a,160 µg/L
MSN,Moesin,160 µg/L
ADAMTS13,ADAM metallopeptidase with thrombospondin type 1 motif 13,160 µg/L
TKT,Transketolase,160 µg/L
PDIA3,Protein disulfide isomerase family A member 3,160 µg/L
CDH2,Cadherin 2,160 µg/L
SERPINA11,Serpin family A member 11,160 µg/L
TUBB,Tubulin beta class I,160 µg/L
DPP4,Dipeptidyl peptidase 4,160 µg/L
PGK1,Phosphoglycerate kinase 1,150 µg/L
CR2,Complement C3d receptor 2,150 µg/L
LDHA,Lactate dehydrogenase A,150 µg/L
SVEP1,"Sushi, von Willebrand factor type A, EGF and pentraxin domain containing 1",150 µg/L
FAM20C,FAM20C golgi associated secretory pathway kinase,150 µg/L
IGLV10-54,Immunoglobulin lambda variable 10-54,150 µg/L
IGLV9-49,Immunoglobulin lambda variable 9-49,150 µg/L
HLA-B,"Major histocompatibility complex, class I, B",150 µg/L
CDH1,Cadherin 1,140 µg/L
FAH,Fumarylacetoacetate hydrolase,140 µg/L
ATRNL1,Attractin like 1,140 µg/L
TPI1,Triosephosphate isomerase 1,140 µg/L
LILRB2,Leukocyte immunoglobulin like receptor B2,140 µg/L
ZYX,Zyxin,140 µg/L
MELTF,Melanotransferrin,140 µg/L
KRT35,Keratin 35,140 µg/L
MRC1,Mannose receptor C-type 1,140 µg/L
DSG2,Desmoglein 2,130 µg/L
BST1,Bone marrow stromal cell antigen 1,130 µg/L
GFAP,Glial fibrillary acidic protein,130 µg/L
ACE,Angiotensin I converting enzyme,130 µg/L
KRT74,Keratin 74,130 µg/L
CADM1,Cell adhesion molecule 1,130 µg/L
HLA-A,"Major histocompatibility complex, class I, A",130 µg/L
IGLV4-60,Immunoglobulin lambda variable 4-60,130 µg/L
ITGA2B,Integrin subunit alpha 2b,120 µg/L
SELE,Selectin E,120 µg/L
H6PD,Hexose-6-phosphate dehydrogenase/glucose 1-dehydrogenase,120 µg/L
KRT32,Keratin 32,120 µg/L
ACTR2,Actin related protein 2,120 µg/L
PTPRF,Protein tyrosine phosphatase receptor type F,120 µg/L
H4C8,H4 clustered histone 8,120 µg/L
PRAP1,Proline rich acidic protein 1,120 µg/L
YWHAB,Tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein beta,120 µg/L
SLC3A2,Solute carrier family 3 member 2,120 µg/L
RNASE2,Ribonuclease A family member 2,120 µg/L
SEMA4B,Semaphorin 4B,120 µg/L
TUBB4B,Tubulin beta 4B class IVb,120 µg/L
H4C3,H4 clustered histone 3,120 µg/L
H4C11,H4 clustered histone 11,120 µg/L
H4C16,H4 histone 16,120 µg/L
ADAMTSL2,ADAMTS like 2,120 µg/L
H4C15,H4 clustered histone 15,120 µg/L
